,nous_casos_diaris_confirmats,defuncions_di_ries,total_de_casos_confirmats,total_de_defuncions,altes_di_ries,total_d_altes,date
114,16,11,59019,5587,,,05-31
115,10,11,59013,5587,,,05-30
116,88,13,59003,5587,,,05-29
117,47,8,58699,5584,,,05-28
118,39,8,58427,5584,,,05-27
119,93,9,57749,5583,,,05-26
120,115,9,57569,5583,,,05-25
121,89,3,57320,5575,,,05-24
122,52,31,58791,6701,,,05-23
123,92,7,58757,6663,,,05-22
124,150,3,58679,6656,,,05-21
125,0,0,57531,6021,,,05-20
126,63,40,57531,6021,,,05-19
127,51,25,57468,5981,,,05-18
128,85,12,57564,5956,,,05-17
129,116,29,57467,5944,105,26172,05-16
130,123,33,57328,5915,163,26067,05-15
131,151,59,57107,5882,55,25904,05-14
132,202,131,57125,5823,523,25849,05-13
133,136,71,56923,5692,360,25326,05-12
134,184,66,56787,5621,512,24966,05-11
135,83,23,56450,5555,105,24454,05-10
136,151,25,53729,5532,286,24349,05-09
137,369,36,53578,5507,399,24063,05-08
138,704,77,53209,5471,433,23664,05-07
139,415,49,52505,5394,350,23231,05-06
140,292,75,52090,5345,328,22881,05-05
141,405,50,51798,5270,655,22553,05-04
142,132,35,51393,5220,1566,21898,05-03
143,384,48,51261,5185,419,20332,05-02
144,543,76,50877,5137,273,19913,05-01
145,391,86,50334,5061,25,19640,04-30
146,262,70,49943,4975,555,19615,04-29
147,496,97,49681,4905,741,19060,04-28
148,403,109,49185,4808,422,18319,04-27
149,944,133,48782,4699,891,17897,04-26
150,550,68,47838,4566,253,17006,04-25
151,717,105,47288,4498,615,16753,04-24
152,1679,50,46571,4393,661,16138,04-23
153,1090,96,44892,4343,388,15477,04-22
154,690,95,43802,4247,643,15089,04-21
155,1436,143,43112,4152,512,14446,04-20
156,1076,76,41676,4009,243,13934,04-19
157,657,54,40600,3933,416,13691,04-18
158,1627,127,39943,3879,488,13275,04-17
159,962,134,38316,3752,826,12787,04-16
160,849,99,37354,3855,646,17297,04-15
161,1308,90,36505,3756,684,16651,04-14
162,471,128,35197,3666,365,15967,04-13
163,699,96,34726,3538,627,15602,04-12
164,1043,111,34027,3442,677,14975,04-11
165,1257,100,32984,3331,785,14298,04-10
166,684,83,31727,3231,450,13513,04-09
167,1396,107,31043,3148,813,13063,04-08
168,1324,133,29647,3041,1512,12250,04-07
169,1499,148,28323,2908,650,10738,04-06
170,792,123,26824,2760,560,10088,04-05
171,1298,129,26032,2637,893,9528,04-04
172,1274,173,24734,2508,786,8635,04-03
173,1656,242,23460,2335,932,7849,04-02
174,1813,244,21804,2093,1216,6917,04-01
175,1218,177,19991,1849,735,5701,03-31
176,2616,262,18773,1672,841,4966,03-30
177,1131,184,16157,1410,670,4125,03-29
178,763,156,15026,1226,349,3455,03-28
179,1323,190,14263,1070,722,3106,03-27
180,1348,208,12940,880,687,2384,03-26
181,1655,156,11592,672,423,1697,03-25
182,2073,177,9937,516,519,1274,03-24
183,1939,94,7864,339,27,755,03-23
184,1221,54,5925,245,84,728,03-22
185,501,69,4704,191,494,644,03-21
186,933,40,4203,122,68,150,03-20
187,568,27,3270,82,,82,03-19
188,836,14,2702,55,,,03-18
189,472,23,1866,41,,,03-17
190,491,6,1394,18,,,03-16
191,188,4,903,12,,,03-15
192,206,2,715,8,,,03-14
193,190,0,509,6,,,03-13
194,135,2,319,6,,,03-12
195,55,1,184,4,,,03-11
196,24,0,129,3,,,03-10
197,23,2,105,3,,,03-09
198,29,0,82,1,,,03-08
199,13,0,53,1,,,03-07
200,8,1,40,1,,,03-06
201,5,0,32,0,,,03-05
202,6,0,27,0,,,03-04
203,4,0,21,0,,,03-03
204,3,0,17,0,,,03-02
205,5,0,14,0,,,03-01
206,3,0,9,0,,,02-29
207,3,0,6,0,,,02-28
208,0,0,3,0,,,02-27
209,1,0,3,0,,,02-26
210,1,0,2,0,,,02-25
211,1,0,1,0,,,02-24
