,comarcacodi,comarcadescripcio,municipicodi,municipidescripcio,sexecodi,sexedescripcio,resultatcoviddescripcio,numcasos,date
0,34,Selva,17213,Vidreres,0,Home,Sospitós,2,11-08
1,21,Maresme,08035,Calella,0,Home,Sospitós,2,11-08
2,11,Baix Llobregat,08200,Sant Boi de Llobregat,0,Home,Sospitós,3,11-08
3,21,Maresme,08214,Vilassar de Dalt,1,Dona,Sospitós,2,11-08
4,33,Segrià ,25019,Almacelles,1,Dona,Sospitós,2,11-08
5,23,Noguera,25172,Ponts,1,Dona,Positiu PCR,1,11-08
6,27,Pla d'Urgell,25248,Vilanova de Bellpuig,0,Home,Positiu PCR,1,11-08
7,21,Maresme,08110,Malgrat de Mar,0,Home,Positiu PCR,2,11-08
8,34,Selva,17146,Riells i Viabrea,1,Dona,Positiu PCR,1,11-08
9,40,Vallès Occidental,08279,Terrassa,0,Home,Positiu PCR,3,11-08
10,36,Tarragonès,43905,Salou,1,Dona,Positiu PCR,1,11-08
11,,,,No classificat,0,Home,Sospitós,1,11-08
12,40,Vallès Occidental,08260,Santa Perpétua de Mogoda,0,Home,Sospitós,3,11-08
13,07,Bages,08113,Manresa,1,Dona,Sospitós,9,11-08
14,23,Noguera,25040,Balaguer,1,Dona,Positiu PCR,5,11-08
15,30,Ribera d'Ebre,43093,Móra d'Ebre,0,Home,Sospitós,3,11-08
16,21,Maresme,08197,Sant Andreu de Llavaneres,1,Dona,Sospitós,1,11-08
17,20,Gironès,17089,Llagostera,1,Dona,Positiu PCR,1,11-08
18,06,Anoia,08102,Igualada,1,Dona,Positiu PCR,2,11-08
19,34,Selva,17009,Arbúcies,1,Dona,Sospitós,1,11-08
20,08,Baix Camp,43038,Cambrils,1,Dona,Positiu PCR,7,11-08
21,21,Maresme,08029,Cabrera de Mar,1,Dona,Sospitós,1,11-08
22,14,Berguedà ,08022,Berga,0,Home,Positiu PCR,2,11-08
23,06,Anoia,08302,Vilanova del Camí,0,Home,Sospitós,1,11-08
24,13,Barcelonès,08019,Barcelona,1,Dona,Positiu per ELISA,3,11-08
25,33,Segrià ,25120,Lleida,1,Dona,Positiu PCR,3,11-08
26,13,Barcelonès,08101,L'Hospitalet de Llobregat,0,Home,Positiu PCR,3,11-08
27,11,Baix Llobregat,08211,Sant Feliu de Llobregat,0,Home,Positiu per ELISA,1,11-08
28,33,Segrià ,25011,Alcarràs,0,Home,Positiu PCR,1,11-08
29,24,Osona,08283,Tona,1,Dona,Sospitós,3,11-08
