,comarcacodi,comarcadescripcio,municipicodi,municipidescripcio,sexecodi,sexedescripcio,resultatcoviddescripcio,numcasos,date
30,40,Vallès Occidental,08125,Montcada i Reixac,0,Home,Sospitós,1,11-08
31,34,Selva,17146,Riells i Viabrea,1,Dona,Sospitós,1,11-08
32,24,Osona,08298,Vic,0,Home,Sospitós,3,11-08
33,34,Selva,17023,Blanes,1,Dona,Positiu PCR,1,11-08
34,02,Alt Empordà ,17047,Castelló d'Empúries,1,Dona,Sospitós,2,11-08
35,02,Alt Empordà ,17171,Sant Llorenç de la Muga,0,Home,Positiu PCR,1,11-08
36,40,Vallès Occidental,08051,Castellar del Vallès,1,Dona,Sospitós,1,11-08
37,06,Anoia,08143,Òdena,0,Home,Sospitós,1,11-08
38,40,Vallès Occidental,08180,Ripollet,1,Dona,Sospitós,3,11-08
39,09,Baix Ebre,43008,Alfara de Carles,0,Home,Sospitós,5,11-08
40,21,Maresme,08281,Teià,0,Home,Sospitós,1,11-08
41,20,Gironès,17079,Girona,1,Dona,Sospitós,14,11-08
42,41,Vallès Oriental,08105,La Llagosta,1,Dona,Positiu PCR,2,11-08
43,24,Osona,08278,Taradell,1,Dona,Sospitós,2,11-08
44,11,Baix Llobregat,08073,Cornellà de Llobregat,0,Home,Positiu PCR,3,11-08
45,21,Maresme,08110,Malgrat de Mar,0,Home,Sospitós,5,11-08
46,07,Bages,08113,Manresa,0,Home,Positiu PCR,4,11-08
47,41,Vallès Oriental,08135,Montmeló,1,Dona,Sospitós,1,11-08
48,32,Segarra,25223,Torà,1,Dona,Positiu PCR,1,11-08
49,22,Montsià ,43044,La Sénia,1,Dona,Sospitós,3,11-08
50,24,Osona,08183,Roda de Ter,1,Dona,Positiu PCR,1,11-08
51,21,Maresme,08235,Sant Pol de Mar,1,Dona,Sospitós,1,11-08
52,40,Vallès Occidental,08252,Barberà del Vallès,1,Dona,Positiu PCR,1,11-08
53,10,Baix Empordà ,17199,Torroella de Montgrí,0,Home,Positiu PCR,1,11-08
54,07,Bages,08262,Sant Vicenç de Castellet,1,Dona,Sospitós,1,11-08
55,39,Aran,25059,Bossòst,1,Dona,Positiu PCR,1,11-08
56,34,Selva,17033,Caldes de Malavella,0,Home,Sospitós,9,11-08
57,09,Baix Ebre,43052,Xerta,0,Home,Sospitós,1,11-08
58,14,Berguedà ,08175,Puig-Reig,1,Dona,Sospitós,1,11-08
59,40,Vallès Occidental,08205,Sant Cugat del Vallès,1,Dona,Positiu PCR,3,11-08
60,13,Barcelonès,08015,Badalona,0,Home,Positiu PCR,4,11-08
61,08,Baix Camp,43145,La Selva del Camp,1,Dona,Sospitós,2,11-08
62,11,Baix Llobregat,08147,Olesa de Montserrat,1,Dona,Positiu PCR,1,11-08
63,08,Baix Camp,43129,Riudoms,1,Dona,Positiu PCR,1,11-08
64,21,Maresme,08155,Palafolls,0,Home,Positiu PCR,1,11-08
65,21,Maresme,08121,Mataró,0,Home,Positiu PCR,6,11-08
66,22,Montsià ,43138,Santa Bàrbara,1,Dona,Sospitós,1,11-08
67,11,Baix Llobregat,08066,Catellví de Rosanes,0,Home,Positiu per ELISA,1,11-08
68,34,Selva,17023,Blanes,1,Dona,Sospitós,17,11-08
69,03,Alt Penedès,08305,Vilafranca del Penedès,1,Dona,Positiu PCR,3,11-08
70,41,Vallès Oriental,08106,Llinars del Vallès,1,Dona,Sospitós,1,11-08
71,40,Vallès Occidental,08184,Rubí,1,Dona,Sospitós,2,11-08
72,20,Gironès,17079,Girona,0,Home,Sospitós,9,11-08
73,41,Vallès Oriental,08136,Montornès del Vallès,1,Dona,Sospitós,2,11-08
74,07,Bages,08062,Castellnou de Bages,0,Home,Sospitós,2,11-08
75,02,Alt Empordà ,17062,L'Escala,1,Dona,Sospitós,2,11-08
76,28,Pla de l'Estany,17015,Banyoles,0,Home,Sospitós,2,11-08
77,11,Baix Llobregat,08158,El Papiol,1,Dona,Sospitós,1,11-08
78,02,Alt Empordà ,17092,Llançà,1,Dona,Positiu PCR,2,11-08
79,41,Vallès Oriental,08202,Sant Celoni,1,Dona,Positiu PCR,1,11-08
80,34,Selva,17180,Santa Coloma de Farners,0,Home,Sospitós,6,11-08
81,41,Vallès Oriental,08041,Canovelles,1,Dona,Sospitós,1,11-08
82,11,Baix Llobregat,08301,Viladecans,1,Dona,Positiu PCR,1,11-08
83,21,Maresme,08006,Arenys de Mar,0,Home,Sospitós,1,11-08
84,21,Maresme,08121,Mataró,0,Home,Sospitós,11,11-08
85,41,Vallès Oriental,08005,L'Ametlla del Vallès,1,Dona,Positiu PCR,1,11-08
86,41,Vallès Oriental,08198,Sant Antoni de Vilamajor,0,Home,Sospitós,2,11-08
87,11,Baix Llobregat,08169,El Prat de Llobregat,1,Dona,Positiu PCR,3,11-08
88,18,Garrigues,25058,Les Borges Blanques,1,Dona,Sospitós,1,11-08
89,34,Selva,17027,Breda,1,Dona,Sospitós,3,11-08
90,30,Ribera d'Ebre,43019,Ascó,1,Dona,Sospitós,1,11-08
91,14,Berguedà ,08092,Gironella,0,Home,Sospitós,1,11-08
92,41,Vallès Oriental,08096,Granollers,0,Home,Positiu PCR,3,11-08
93,02,Alt Empordà ,17223,Vilajuïga,1,Dona,Positiu PCR,1,11-08
94,41,Vallès Oriental,08902,Vilanova del Vallès,1,Dona,Sospitós,1,11-08
95,10,Baix Empordà ,17232,Vilopriu,0,Home,Sospitós,1,11-08
96,40,Vallès Occidental,08125,Montcada i Reixac,0,Home,Positiu PCR,1,11-08
97,10,Baix Empordà ,17181,Santa Cristina d'Aro,0,Home,Sospitós,1,11-08
98,08,Baix Camp,43009,Alforja,1,Dona,Positiu PCR,1,11-08
99,36,Tarragonès,43109,La Pobla de Mafumet,1,Dona,Sospitós,1,11-08
100,11,Baix Llobregat,08076,Esparreguera,1,Dona,Positiu PCR,1,11-08
101,33,Segrià ,25233,Torre-Serona,1,Dona,Positiu PCR,1,11-08
102,11,Baix Llobregat,08114,Martorell,1,Dona,Sospitós,2,11-08
103,36,Tarragonès,43095,El Morell,1,Dona,Sospitós,1,11-08
104,41,Vallès Oriental,08108,Lliçà de Vall,0,Home,Positiu PCR,1,11-08
105,11,Baix Llobregat,08073,Cornellà de Llobregat,0,Home,Sospitós,5,11-08
106,13,Barcelonès,08245,Santa Coloma de Gramenet,1,Dona,Positiu PCR,3,11-08
107,11,Baix Llobregat,08263,Sant Vicenç dels Horts,0,Home,Sospitós,2,11-08
108,41,Vallès Oriental,08033,Caldes de Montbui,1,Dona,Positiu PCR,1,11-08
109,08,Baix Camp,43011,Almoster,1,Dona,Sospitós,2,11-08
110,41,Vallès Oriental,08086,Les Franqueses del Vallès,0,Home,Positiu PCR,1,11-08
111,30,Ribera d'Ebre,43094,Móra la Nova,1,Dona,Sospitós,1,11-08
112,32,Segarra,25110,Guissona,1,Dona,Sospitós,1,11-08
113,34,Selva,17095,Lloret de Mar,1,Dona,Sospitós,6,11-08
114,13,Barcelonès,08101,L'Hospitalet de Llobregat,1,Dona,Sospitós,2,11-08
115,36,Tarragonès,43148,Tarragona,1,Dona,Sospitós,8,11-08
116,33,Segrià ,25019,Almacelles,0,Home,Positiu PCR,3,11-08
117,40,Vallès Occidental,08051,Castellar del Vallès,1,Dona,Positiu PCR,1,11-08
118,21,Maresme,08219,Vilassar de Mar,1,Dona,Positiu PCR,1,11-08
119,08,Baix Camp,43038,Cambrils,0,Home,Sospitós,11,11-08
120,11,Baix Llobregat,08169,El Prat de Llobregat,0,Home,Positiu PCR,3,11-08
121,21,Maresme,08282,Tiana,0,Home,Positiu PCR,1,11-08
122,34,Selva,17008,Anglès,0,Home,Sospitós,1,11-08
123,09,Baix Ebre,43155,Tortosa,1,Dona,Sospitós,5,11-08
124,13,Barcelonès,08019,Barcelona,0,Home,Sospitós,76,11-08
125,28,Pla de l'Estany,17015,Banyoles,0,Home,Positiu PCR,1,11-08
126,41,Vallès Oriental,08046,Cardedeu,1,Dona,Sospitós,1,11-08
127,06,Anoia,08102,Igualada,0,Home,Sospitós,7,11-08
128,34,Selva,17193,Sils,0,Home,Sospitós,1,11-08
129,31,Ripollès,17224,Vilallonga de Ter,0,Home,Positiu PCR,3,11-08
130,02,Alt Empordà ,17016,Bàscara,0,Home,Sospitós,1,11-08
131,13,Barcelonès,08194,Sant Adrià del Besòs,1,Dona,Sospitós,3,11-08
132,40,Vallès Occidental,08051,Castellar del Vallès,0,Home,Positiu PCR,3,11-08
133,41,Vallès Oriental,08209,Sant Fost de Campsentelles,0,Home,Sospitós,2,11-08
134,13,Barcelonès,08015,Badalona,0,Home,Sospitós,7,11-08
135,24,Osona,08112,Manlleu,1,Dona,Positiu PCR,1,11-08
136,30,Ribera d'Ebre,43093,Móra d'Ebre,0,Home,Positiu PCR,1,11-08
137,11,Baix Llobregat,08147,Olesa de Montserrat,1,Dona,Sospitós,1,11-08
138,41,Vallès Oriental,08108,Lliçà de Vall,0,Home,Sospitós,1,11-08
139,33,Segrià ,25023,Alpicat,1,Dona,Sospitós,1,11-08
140,38,Urgell,25217,Tàrrega,0,Home,Sospitós,4,11-08
141,21,Maresme,08172,Premià de Mar,1,Dona,Positiu PCR,1,11-08
142,33,Segrià ,25131,Massalcoreig,1,Dona,Sospitós,1,11-08
143,30,Ribera d'Ebre,43094,Móra la Nova,1,Dona,Positiu PCR,1,11-08
144,17,Garraf,08270,Sitges,1,Dona,Sospitós,2,11-08
145,10,Baix Empordà ,17124,Pals,0,Home,Sospitós,1,11-08
146,21,Maresme,08172,Premià de Mar,1,Dona,Sospitós,5,11-08
147,09,Baix Ebre,43155,Tortosa,1,Dona,Positiu PCR,1,11-08
148,34,Selva,17164,Sant Hilari Sacalm,1,Dona,Sospitós,1,11-08
149,28,Pla de l'Estany,17015,Banyoles,1,Dona,Sospitós,3,11-08
150,07,Bages,08098,Sant Salvador de Guardiola,0,Home,Sospitós,1,11-08
151,01,Alt Camp,43161,Valls,1,Dona,Sospitós,1,11-08
152,15,Cerdanya,17094,Llívia,0,Home,Sospitós,1,11-08
153,16,Conca de Barberà ,43086,Montblanc,1,Dona,Sospitós,3,11-08
154,33,Segrià ,25053,Benavent de Segrià,1,Dona,Sospitós,1,11-08
155,23,Noguera,25008,Albesa,0,Home,Sospitós,1,11-08
156,39,Aran,25243,Vielha e Mijaran,1,Dona,Sospitós,1,11-08
157,11,Baix Llobregat,08073,Cornellà de Llobregat,1,Dona,Sospitós,4,11-08
158,22,Montsià ,43014,Amposta,1,Dona,Sospitós,7,11-08
159,21,Maresme,08163,Pineda de Mar,0,Home,Sospitós,16,11-08
160,11,Baix Llobregat,08208,Sant Esteve Sesrovires,0,Home,Sospitós,1,11-08
161,40,Vallès Occidental,08279,Terrassa,1,Dona,Positiu PCR,6,11-08
162,41,Vallès Oriental,08105,La Llagosta,1,Dona,Sospitós,2,11-08
163,20,Gironès,17155,Salt,1,Dona,Positiu PCR,1,11-08
164,34,Selva,17095,Lloret de Mar,0,Home,Sospitós,2,11-08
165,21,Maresme,08007,Arenys de Munt,1,Dona,Sospitós,3,11-08
166,22,Montsià ,43902,Sant Jaume d'Enveja,1,Dona,Sospitós,3,11-08
167,32,Segarra,25192,Sant Guim de Freixenet,0,Home,Sospitós,1,11-08
168,07,Bages,08061,Castellgalí,0,Home,Positiu PCR,1,11-08
169,21,Maresme,08284,Tordera,0,Home,Sospitós,3,11-08
170,29,Priorat,43055,Falset,0,Home,Sospitós,1,11-08
171,40,Vallès Occidental,08904,Badia del Vallès,0,Home,Sospitós,1,11-08
172,20,Gironès,17186,Sarrià de Ter,0,Home,Sospitós,3,11-08
173,33,Segrià ,25211,Sudanell,1,Dona,Positiu PCR,1,11-08
174,40,Vallès Occidental,08187,Sabadell,0,Home,Sospitós,21,11-08
175,21,Maresme,08126,Montgat,0,Home,Positiu PCR,1,11-08
176,41,Vallès Oriental,08136,Montornès del Vallès,0,Home,Positiu PCR,1,11-08
177,22,Montsià ,43004,Alcanar,1,Dona,Sospitós,1,11-08
178,41,Vallès Oriental,08259,Santa Maria de Palautordera,0,Home,Positiu PCR,1,11-08
179,02,Alt Empordà ,17066,Figueres,1,Dona,Sospitós,4,11-08
180,34,Selva,17083,Hostalric,1,Dona,Sospitós,1,11-08
181,33,Segrià ,25011,Alcarràs,1,Dona,Positiu PCR,1,11-08
182,21,Maresme,08035,Calella,0,Home,Positiu PCR,1,11-08
183,08,Baix Camp,43123,Reus,1,Dona,Sospitós,17,11-08
184,08,Baix Camp,43123,Reus,1,Dona,Positiu PCR,7,11-08
185,40,Vallès Occidental,08180,Ripollet,0,Home,Positiu PCR,2,11-08
186,10,Baix Empordà ,17160,Sant Feliu de Guíxols,0,Home,Sospitós,1,11-08
187,09,Baix Ebre,43008,Alfara de Carles,1,Dona,Positiu PCR,1,11-08
188,13,Barcelonès,08194,Sant Adrià del Besòs,0,Home,Positiu PCR,1,11-08
189,01,Alt Camp,43161,Valls,0,Home,Sospitós,2,11-08
190,09,Baix Ebre,43155,Tortosa,0,Home,Positiu PCR,2,11-08
191,08,Baix Camp,43092,Mont-Roig del Camp,1,Dona,Positiu PCR,1,11-08
192,34,Selva,17008,Anglès,1,Dona,Positiu PCR,3,11-08
193,08,Baix Camp,43042,Castellvell del Camp,0,Home,Positiu PCR,1,11-08
194,11,Baix Llobregat,08169,El Prat de Llobregat,0,Home,Sospitós,1,11-08
195,34,Selva,17007,Amer,1,Dona,Positiu PCR,1,11-08
196,13,Barcelonès,08101,L'Hospitalet de Llobregat,1,Dona,Positiu per ELISA,1,11-08
197,06,Anoia,08048,Carme,0,Home,Sospitós,1,11-08
198,34,Selva,17903,Sant Julià del Llor i Bonmatí,0,Home,Sospitós,2,11-08
199,11,Baix Llobregat,08123,Molins de Rei,0,Home,Sospitós,3,11-08
200,34,Selva,17148,Riudarenes,1,Dona,Sospitós,3,11-08
201,01,Alt Camp,43005,Alcover,0,Home,Sospitós,1,11-08
202,11,Baix Llobregat,08073,Cornellà de Llobregat,1,Dona,Positiu PCR,2,11-08
203,40,Vallès Occidental,08156,Palau-Solità i Plegamans,1,Dona,Sospitós,1,11-08
204,21,Maresme,08172,Premià de Mar,0,Home,Sospitós,5,11-08
205,39,Aran,25025,Naut Aran,0,Home,Sospitós,1,11-08
206,24,Osona,08067,Centelles,0,Home,Sospitós,1,11-08
207,13,Barcelonès,08015,Badalona,1,Dona,Positiu PCR,7,11-08
208,41,Vallès Oriental,08159,Parets del Vallès,1,Dona,Sospitós,5,11-08
209,06,Anoia,08250,Santa Margarida de Montbui,0,Home,Sospitós,1,11-08
210,40,Vallès Occidental,08120,Matadepera,1,Dona,Sospitós,1,11-08
211,08,Baix Camp,43145,La Selva del Camp,0,Home,Sospitós,1,11-08
212,21,Maresme,08155,Palafolls,0,Home,Sospitós,2,11-08
213,31,Ripollès,17107,Molló,0,Home,Positiu PCR,1,11-08
214,11,Baix Llobregat,08208,Sant Esteve Sesrovires,1,Dona,Positiu PCR,1,11-08
215,07,Bages,08113,Manresa,1,Dona,Positiu PCR,2,11-08
216,34,Selva,17033,Caldes de Malavella,1,Dona,Sospitós,14,11-08
217,36,Tarragonès,43905,Salou,0,Home,Sospitós,1,11-08
218,41,Vallès Oriental,08105,La Llagosta,0,Home,Positiu PCR,1,11-08
219,11,Baix Llobregat,08169,El Prat de Llobregat,1,Dona,Sospitós,1,11-08
220,27,Pla d'Urgell,25122,Linyola,1,Dona,Sospitós,1,11-08
221,33,Segrià ,25019,Almacelles,0,Home,Sospitós,3,11-08
222,21,Maresme,08163,Pineda de Mar,0,Home,Positiu PCR,4,11-08
223,41,Vallès Oriental,08096,Granollers,1,Dona,Positiu PCR,2,11-08
224,09,Baix Ebre,43901,Deltebre,1,Dona,Positiu PCR,1,11-08
225,06,Anoia,08302,Vilanova del Camí,1,Dona,Sospitós,3,11-08
226,11,Baix Llobregat,08147,Olesa de Montserrat,0,Home,Sospitós,3,11-08
227,36,Tarragonès,43095,El Morell,0,Home,Positiu PCR,2,11-08
228,39,Aran,25025,Naut Aran,1,Dona,Sospitós,4,11-08
229,41,Vallès Oriental,08033,Caldes de Montbui,1,Dona,Sospitós,1,11-08
230,33,Segrià ,25023,Alpicat,0,Home,Sospitós,1,11-08
231,40,Vallès Occidental,08252,Barberà del Vallès,0,Home,Sospitós,1,11-08
232,31,Ripollès,17147,Ripoll,0,Home,Sospitós,1,11-08
233,07,Bages,08192,Santpedor,1,Dona,Positiu PCR,1,11-08
234,16,Conca de Barberà ,43142,Sarral,1,Dona,Sospitós,1,11-08
235,09,Baix Ebre,43901,Deltebre,0,Home,Positiu PCR,1,11-08
236,13,Barcelonès,08245,Santa Coloma de Gramenet,0,Home,Positiu PCR,1,11-08
237,34,Selva,17023,Blanes,0,Home,Sospitós,10,11-08
238,41,Vallès Oriental,08136,Montornès del Vallès,0,Home,Sospitós,3,11-08
239,02,Alt Empordà ,17047,Castelló d'Empúries,0,Home,Sospitós,2,11-08
240,24,Osona,08183,Roda de Ter,1,Dona,Sospitós,2,11-08
241,16,Conca de Barberà ,43086,Montblanc,0,Home,Sospitós,1,11-08
242,21,Maresme,08163,Pineda de Mar,1,Dona,Positiu PCR,2,11-08
243,40,Vallès Occidental,08267,Sentmenat,1,Dona,Sospitós,1,11-08
244,21,Maresme,08110,Malgrat de Mar,1,Dona,Positiu PCR,4,11-08
245,10,Baix Empordà ,17181,Santa Cristina d'Aro,1,Dona,Sospitós,1,11-08
246,40,Vallès Occidental,08187,Sabadell,1,Dona,Sospitós,18,11-08
247,41,Vallès Oriental,08198,Sant Antoni de Vilamajor,1,Dona,Positiu PCR,1,11-08
248,07,Bages,08038,Callús,0,Home,Sospitós,1,11-08
249,41,Vallès Oriental,08088,La Garriga,1,Dona,Sospitós,2,11-08
250,22,Montsià ,43136,Sant Carles de la Ràpita,1,Dona,Sospitós,6,11-08
251,21,Maresme,08261,Santa Susanna,0,Home,Sospitós,1,11-08
252,21,Maresme,08264,Sant Vicenç de Montalt,1,Dona,Positiu PCR,2,11-08
253,21,Maresme,08193,Sant Iscle de Vallalta,0,Home,Positiu PCR,3,11-08
254,02,Alt Empordà ,17086,La Jonquera,0,Home,Positiu PCR,2,11-08
255,13,Barcelonès,08019,Barcelona,1,Dona,Positiu PCR,25,11-08
256,21,Maresme,08121,Mataró,1,Dona,Positiu PCR,9,11-08
257,10,Baix Empordà ,17117,Palafrugell,1,Dona,Sospitós,1,11-08
258,22,Montsià ,43014,Amposta,0,Home,Positiu PCR,3,11-08
259,34,Selva,17180,Santa Coloma de Farners,1,Dona,Sospitós,2,11-08
260,11,Baix Llobregat,08905,La Palma de Cervelló,1,Dona,Sospitós,1,11-08
261,24,Osona,08112,Manlleu,0,Home,Sospitós,4,11-08
262,36,Tarragonès,43148,Tarragona,1,Dona,Positiu PCR,6,11-08
263,21,Maresme,08030,Cabrils,1,Dona,Positiu PCR,1,11-08
264,02,Alt Empordà ,17066,Figueres,1,Dona,Positiu PCR,4,11-08
265,06,Anoia,08161,Piera,1,Dona,Sospitós,1,11-08
266,38,Urgell,25217,Tàrrega,0,Home,Positiu PCR,4,11-08
267,24,Osona,08298,Vic,1,Dona,Positiu PCR,1,11-08
268,21,Maresme,08121,Mataró,1,Dona,Sospitós,18,11-08
269,13,Barcelonès,08194,Sant Adrià del Besòs,1,Dona,Positiu PCR,1,11-08
270,01,Alt Camp,43108,El Pla de Santa Maria,0,Home,Sospitós,1,11-08
271,40,Vallès Occidental,08205,Sant Cugat del Vallès,1,Dona,Sospitós,8,11-08
272,41,Vallès Oriental,08159,Parets del Vallès,0,Home,Sospitós,3,11-08
273,22,Montsià ,43044,La Sénia,1,Dona,Positiu PCR,1,11-08
274,02,Alt Empordà ,17092,Llançà,1,Dona,Sospitós,2,11-08
275,22,Montsià ,43014,Amposta,1,Dona,Positiu PCR,3,11-08
276,33,Segrià ,25019,Almacelles,1,Dona,Positiu per Test Ràpid,1,11-08
277,40,Vallès Occidental,08252,Barberà del Vallès,1,Dona,Sospitós,2,11-08
278,33,Segrià ,25120,Lleida,0,Home,Positiu PCR,7,11-08
279,19,Garrotxa,17149,Riudaura,1,Dona,Positiu PCR,1,11-08
280,20,Gironès,17073,Fornells de la Selva,1,Dona,Sospitós,1,11-08
281,06,Anoia,08102,Igualada,0,Home,Positiu PCR,1,11-08
282,21,Maresme,08009,Argentona,0,Home,Sospitós,1,11-08
283,16,Conca de Barberà ,43147,Solivella,1,Dona,Sospitós,1,11-08
284,36,Tarragonès,43148,Tarragona,0,Home,Sospitós,12,11-08
285,40,Vallès Occidental,08156,Palau-Solità i Plegamans,0,Home,Sospitós,2,11-08
286,11,Baix Llobregat,08295,Vallirana,0,Home,Sospitós,1,11-08
287,11,Baix Llobregat,08056,Castelldefels,1,Dona,Positiu PCR,4,11-08
288,07,Bages,08218,Sant Joan de Vilatorrada,1,Dona,Sospitós,2,11-08
289,28,Pla de l'Estany,17137,Porqueres,0,Home,Sospitós,1,11-08
290,38,Urgell,25050,Bellpuig,1,Dona,Positiu PCR,1,11-08
291,02,Alt Empordà ,17062,L'Escala,1,Dona,Positiu PCR,1,11-08
292,40,Vallès Occidental,08167,Polinyà,1,Dona,Sospitós,2,11-08
293,40,Vallès Occidental,08291,Vacarisses,0,Home,Sospitós,1,11-08
294,21,Maresme,08040,Canet de Mar,1,Dona,Sospitós,1,11-08
295,39,Aran,25059,Bossòst,0,Home,Sospitós,1,11-08
296,08,Baix Camp,43011,Almoster,0,Home,Sospitós,1,11-08
297,21,Maresme,08197,Sant Andreu de Llavaneres,0,Home,Sospitós,1,11-08
298,41,Vallès Oriental,08124,Mollet del Vallès,1,Dona,Sospitós,2,11-08
299,16,Conca de Barberà ,43139,Santa Coloma de Queralt,0,Home,Sospitós,2,11-08
300,20,Gironès,17142,Quart,0,Home,Sospitós,5,11-08
301,41,Vallès Oriental,08088,La Garriga,0,Home,Sospitós,1,11-08
302,11,Baix Llobregat,08196,Sant Andreu de la Barca,1,Dona,Positiu PCR,1,11-08
303,03,Alt Penedès,08232,Sant Pere de Riudebitlles,0,Home,Sospitós,1,11-08
304,11,Baix Llobregat,08211,Sant Feliu de Llobregat,0,Home,Positiu PCR,1,11-08
305,20,Gironès,17079,Girona,1,Dona,Positiu PCR,15,11-08
306,41,Vallès Oriental,08033,Caldes de Montbui,0,Home,Sospitós,3,11-08
307,21,Maresme,08264,Sant Vicenç de Montalt,0,Home,Sospitós,2,11-08
308,40,Vallès Occidental,08291,Vacarisses,1,Dona,Positiu PCR,1,11-08
309,09,Baix Ebre,43904,l'Aldea,1,Dona,Positiu PCR,1,11-08
310,34,Selva,17008,Anglès,1,Dona,Sospitós,1,11-08
311,40,Vallès Occidental,08260,Santa Perpétua de Mogoda,1,Dona,Sospitós,6,11-08
312,11,Baix Llobregat,08001,Abrera,0,Home,Sospitós,1,11-08
313,11,Baix Llobregat,08089,Gavà,1,Dona,Sospitós,3,11-08
314,21,Maresme,08040,Canet de Mar,0,Home,Positiu PCR,1,11-08
315,20,Gironès,17044,Cassà de la Selva,1,Dona,Sospitós,9,11-08
316,11,Baix Llobregat,08196,Sant Andreu de la Barca,0,Home,Sospitós,2,11-08
317,40,Vallès Occidental,08180,Ripollet,0,Home,Sospitós,1,11-08
318,,,,(Altres municipis),0,Home,Sospitós,2,11-08
319,12,Baix Penedès,43051,Cunit,0,Home,Sospitós,1,11-08
320,09,Baix Ebre,43904,l'Aldea,1,Dona,Sospitós,4,11-08
321,17,Garraf,08231,Sant Pere de Ribes,1,Dona,Sospitós,4,11-08
322,20,Gironès,17020,Bescanó,1,Dona,Positiu PCR,1,11-08
323,01,Alt Camp,43161,Valls,1,Dona,Positiu PCR,1,11-08
324,21,Maresme,08261,Santa Susanna,1,Dona,Sospitós,1,11-08
325,06,Anoia,08102,Igualada,1,Dona,Sospitós,3,11-08
326,40,Vallès Occidental,08187,Sabadell,1,Dona,Positiu PCR,7,11-08
327,40,Vallès Occidental,08180,Ripollet,1,Dona,Positiu PCR,2,11-08
328,10,Baix Empordà ,17199,Torroella de Montgrí,0,Home,Sospitós,1,11-08
329,21,Maresme,08040,Canet de Mar,0,Home,Sospitós,5,11-08
330,40,Vallès Occidental,08279,Terrassa,0,Home,Sospitós,11,11-08
331,34,Selva,17180,Santa Coloma de Farners,1,Dona,Positiu PCR,1,11-08
332,41,Vallès Oriental,08124,Mollet del Vallès,0,Home,Sospitós,2,11-08
333,21,Maresme,08282,Tiana,1,Dona,Positiu PCR,1,11-08
334,22,Montsià ,43044,La Sénia,0,Home,Sospitós,2,11-08
335,41,Vallès Oriental,08106,Llinars del Vallès,0,Home,Positiu PCR,1,11-08
336,40,Vallès Occidental,08238,Sant Quirze del Vallès,0,Home,Sospitós,1,11-08
337,41,Vallès Oriental,08096,Granollers,1,Dona,Sospitós,3,11-08
338,22,Montsià ,43136,Sant Carles de la Ràpita,0,Home,Sospitós,7,11-08
339,36,Tarragonès,43153,Torredembarra,0,Home,Sospitós,1,11-08
340,32,Segarra,25132,Massoteres,0,Home,Sospitós,2,11-08
341,23,Noguera,25240,Vallfogona de Balaguer,0,Home,Sospitós,1,11-08
342,11,Baix Llobregat,08077,Esplugues de Llobregat,1,Dona,Positiu PCR,1,11-08
