,comarcacodi,comarcadescripcio,municipicodi,municipidescripcio,sexecodi,sexedescripcio,resultatcoviddescripcio,numcasos,date
855,12,Baix Penedès,43016,L'Arboç,0,Home,Sospitós,4,11-06
856,15,Cerdanya,17141,Puigcerdà,0,Home,Sospitós,1,11-06
857,40,Vallès Occidental,08180,Ripollet,1,Dona,Sospitós,50,11-06
858,12,Baix Penedès,43002,Albinyana,0,Home,Sospitós,1,11-06
859,01,Alt Camp,43161,Valls,1,Dona,Sospitós,13,11-06
860,41,Vallès Oriental,08023,Bigues i Riells,0,Home,Sospitós,7,11-06
861,22,Montsià ,43078,Masdenverge,0,Home,Sospitós,1,11-06
862,41,Vallès Oriental,08207,Sant Esteve de Palautordera,0,Home,Sospitós,2,11-06
863,03,Alt Penedès,08251,Santa Margarida i els Monjos,1,Dona,Positiu PCR,1,11-06
864,03,Alt Penedès,08027,Les Cabanyes,1,Dona,Sospitós,1,11-06
865,02,Alt Empordà ,17152,Roses,1,Dona,Positiu PCR,2,11-06
866,13,Barcelonès,08101,L'Hospitalet de Llobregat,1,Dona,Positiu per ELISA,1,11-06
867,33,Segrià ,25012,Alcoletge,1,Dona,Sospitós,2,11-06
868,13,Barcelonès,08101,L'Hospitalet de Llobregat,0,Home,Positiu PCR,68,11-06
869,17,Garraf,08148,Olivella,1,Dona,Sospitós,2,11-06
870,02,Alt Empordà ,17221,Vilafant,0,Home,Sospitós,9,11-06
871,24,Osona,08298,Vic,0,Home,Sospitós,38,11-06
872,20,Gironès,17163,Sant Gregori,1,Dona,Sospitós,19,11-06
873,19,Garrotxa,17046,Castellfollit de la Roca,1,Dona,Positiu PCR,1,11-06
874,34,Selva,17023,Blanes,1,Dona,Positiu PCR,10,11-06
875,10,Baix Empordà ,17211,Verges,1,Dona,Sospitós,3,11-06
876,16,Conca de Barberà ,43139,Santa Coloma de Queralt,1,Dona,Sospitós,1,11-06
